,DESCRICAO_UE,SIGLA_UE,SIGLA_UF,ano,mulher_ver,total_ver,mulher_ele,total_ele,prop_cm,prop_me,ln_prop_cm,ln_prop_me
34554,MIRANTE,37303,BA,2004,3,34,1,8,8.82353,12.5,2.1774220167067,2.52572864430826
34592,MONTE SANTO,37311,BA,2004,12,85,1,7,14.11765,14.28571,2.64742578761909,2.65925973693273
34691,MORPARA,37338,BA,2004,5,28,2,8,17.85714,25,2.88240342824698,3.2188758248682
34728,MORRO DO CHAPEU,37354,BA,2004,9,51,0,6,17.64706,0,2.87056919726665,0
34790,MORTUGABA,37370,BA,2004,9,33,2,8,27.27273,25,3.30588730185783,3.2188758248682
34830,MUCUGE,37397,BA,2004,2,23,0,8,8.69565,0,2.16282290061886,0
34873,MUCURI,37419,BA,2004,20,98,0,5,20.40816,0,3.0159348208715,0
35000,MULUNGU DO MORRO,37427,BA,2004,2,28,0,7,7.14286,0,1.96611325637275,0
35034,MUNDO NOVO,37435,BA,2004,11,43,1,7,25.5814,14.28571,3.24186552491106,2.65925973693273
35091,MUNIZ FERREIRA,37451,BA,2004,8,55,1,6,14.54545,16.66667,2.67727822993541,2.81341091676002
35159,MUQUEM DO SAO FRANCISCO,37460,BA,2004,7,38,1,7,18.42105,14.28571,2.91349403245987,2.65925973693273
35204,MURITIBA,37478,BA,2004,24,98,1,6,24.4898,16.66667,3.19825670433212,2.81341091676002
35314,MUTUIPE,37494,BA,2004,13,62,2,7,20.96774,28.57143,3.04298506609684,3.35240726749272
35388,NAZARE,37516,BA,2004,26,108,0,3,24.07407,0,3.18113532765457,0
35535,NILO PECANHA,37532,BA,2004,7,59,0,5,11.86441,0,2.47354316256622,0
35601,NORDESTINA,39799,BA,2004,3,27,1,7,11.11111,14.28571,2.40794550865187,2.65925973693273
35636,NOVA CANAA,37559,BA,2004,9,42,1,8,21.42857,12.5,3.06472507837427,2.52572864430826
35685,NOVA FATIMA,37567,BA,2004,8,29,1,8,27.58621,12.5,3.31731601018145,2.52572864430826
35727,NOVA IBIA,39969,BA,2004,5,28,1,8,17.85714,12.5,2.88240342824698,2.52572864430826
35761,NOVA ITARANA,37575,BA,2004,12,42,2,8,28.57143,25,3.35240726749272,3.2188758248682
35809,NOVA REDENCAO,37583,BA,2004,9,38,1,8,23.68421,12.5,3.1648085813757,2.52572864430826
35857,NOVA SOURE,37591,BA,2004,19,83,0,7,22.89157,0,3.13076872051582,0
35959,NOVA VICOSA,37613,BA,2004,32,137,1,5,23.35766,20,3.15092498170968,2.99573227355399
36107,NOVO HORIZONTE,39942,BA,2004,1,20,0,8,5,0,1.6094379124341,0
