,DESCRICAO_UE,SIGLA_UE,SIGLA_UF,ano,mulher_ver,total_ver,mulher_ele,total_ele,prop_cm,prop_me,ln_prop_cm,ln_prop_me
173420,LAMBARI D'OESTE,90301,MT,2004,9,61,1,6,14.7541,16.66667,2.6915210102621,2.81341091676002
173505,LUCAS DO RIO VERDE,90603,MT,2004,7,45,1,7,15.55556,14.28571,2.74441813098733,2.65925973693273
173556,LUCIARA,91057,MT,2004,7,29,0,8,24.13793,0,3.18378446219979,0
173591,MARCELANDIA,98710,MT,2004,21,59,1,6,35.59322,16.66667,3.57215517028199,2.81341091676002
173659,MATUPA,90620,MT,2004,5,41,1,7,12.19512,14.28571,2.50103587171787,2.65925973693273
173706,MIRASSOL D'OESTE,91774,MT,2004,5,44,0,7,11.36364,0,2.43041878450388,0
173759,NOBRES,91170,MT,2004,22,74,2,6,29.72973,33.33333,3.39214755523315,3.50655779731998
173841,NORTELANDIA,91197,MT,2004,13,50,0,6,26,0,3.25809653802148,0
173902,NOSSA SENHORA DO LIVRAMENTO,91219,MT,2004,9,38,2,8,23.68421,25,3.1648085813757,3.2188758248682
173947,NOVA BANDEIRANTE,90387,MT,2004,15,69,0,4,21.73913,0,3.07911386249304,0
174031,NOVA BRASILANDIA,89818,MT,2004,4,31,0,8,12.90323,0,2.55747766762278,0
174070,NOVA CANAA DO NORTE,98752,MT,2004,13,49,2,7,26.53061,28.57143,3.27829916072361,3.35240726749272
174128,NOVA GUARITA,90140,MT,2004,5,26,1,7,19.23077,14.28571,2.95651160040071,2.65925973693273
174159,NOVA LACERDA,90867,MT,2004,7,29,2,7,24.13793,28.57143,3.18378446219979,3.35240726749272
174195,NOVA MARILANDIA,90166,MT,2004,1,12,1,9,8.33333,11.11111,2.12026313620001,2.40794550865187
174209,NOVA MARINGA,90123,MT,2004,7,44,0,6,15.90909,0,2.76689064398228,0
174261,NOVA MONTE VERDE,90360,MT,2004,10,48,1,7,20.83333,14.28571,3.03655410807423,2.65925973693273
174317,NOVA MUTUM,90646,MT,2004,3,27,1,8,11.11111,12.5,2.40794550865187,2.52572864430826
174351,NOVA NAZARE,90964,MT,2004,10,38,1,6,26.31579,16.66667,3.27016913925575,2.81341091676002
174395,NOVA OLIMPIA,98736,MT,2004,18,76,0,6,23.68421,0,3.1648085813757,0
174480,NOVA SANTA HELENA,89826,MT,2004,4,32,0,8,12.5,0,2.52572864430826,0
174517,NOVA UBIRATA,90883,MT,2004,11,40,1,8,27.5,12.5,3.31418600467253,2.52572864430826
174565,NOVA XAVANTINA,91952,MT,2004,7,51,0,7,13.72549,0,2.61925468803336,0
174624,NOVO HORIZONTE DO NORTE,98795,MT,2004,6,43,1,7,13.95349,14.28571,2.63572965618924,2.65925973693273
174671,NOVO MUNDO,90808,MT,2004,6,36,1,7,16.66667,14.28571,2.81341091676002,2.65925973693273
174716,NOVO SANTO ANTONIO,90948,MT,2004,4,21,2,8,19.04762,25,2.94694215938456,3.2188758248682
174743,NOVO SAO JOAQUIM,98779,MT,2004,4,46,0,6,8.69565,0,2.16282290061886,0
174801,PARANAITA,98833,MT,2004,6,28,1,8,21.42857,12.5,3.06472507837427,2.52572864430826
174834,PARANATINGA,89834,MT,2004,6,44,0,7,13.63636,0,2.61273975463118,0
174886,PEDRA PRETA,91812,MT,2004,11,42,1,8,26.19048,12.5,3.26539598595763,2.52572864430826
174935,PEIXOTO DE AZEVEDO,98817,MT,2004,24,82,1,7,29.26829,14.28571,3.37650467740511,2.65925973693273
175041,PLANALTO DA SERRA,90344,MT,2004,8,31,3,8,25.80645,37.5,3.25062446068278,3.62434093297637
175079,POCONE,91294,MT,2004,17,61,2,6,27.86885,33.33333,3.3275095776357,3.50655779731998
175149,PONTAL DO ARAGUAIA,90700,MT,2004,13,73,1,7,17.80822,14.28571,2.87966014845508,2.65925973693273
175237,PONTE BRANCA,91332,MT,2004,3,21,1,8,14.28571,12.5,2.65925973693273,2.52572864430826
175264,PONTES E LACERDA,89990,MT,2004,16,70,0,7,22.85714,0,3.12926354117851,0
175342,PORTO ALEGRE DO NORTE,98850,MT,2004,19,75,3,5,25.33333,60,3.23212092003927,4.0943445622221
175436,PORTO DOS GAUCHOS,91359,MT,2004,5,25,3,8,20,37.5,2.99573227355399,3.62434093297637
175468,PORTO ESPERIDIAO,98876,MT,2004,8,54,1,6,14.81481,16.66667,2.6956273561036,2.81341091676002
175535,PORTO ESTRELA,90182,MT,2004,11,39,0,6,28.20513,0,3.33950387629318,0
175584,POXOREO,91391,MT,2004,9,55,0,7,16.36364,0,2.79506180031404,0
175645,PRIMAVERA DO LESTE,98892,MT,2004,11,60,1,8,18.33333,12.5,2.90872071474616,2.52572864430826
175730,QUERENCIA,90069,MT,2004,3,34,1,7,8.82353,14.28571,2.1774220167067,2.65925973693273
175774,RESERVA DO CABACAL,98914,MT,2004,5,23,2,8,21.73913,25,3.07911386249304,3.2188758248682
175806,RIBEIRAO CASCALHEIRA,90662,MT,2004,9,32,2,8,28.125,25,3.33665886052458,3.2188758248682
175845,RIBEIRAOZINHO,90441,MT,2004,4,22,1,8,18.18182,12.5,2.90042219374966,2.52572864430826
175872,RIO BRANCO,89958,MT,2004,5,35,1,7,14.28571,14.28571,2.65925973693273,2.65925973693273
175914,RONDOLANDIA,89960,MT,2004,8,41,2,7,19.5122,28.57143,2.97103991096359,3.35240726749272
175965,RONDONOPOLIS,91510,MT,2004,32,136,1,9,23.52941,11.11111,3.15825112805176,2.40794550865187
176122,ROSARIO OESTE,91537,MT,2004,14,57,2,6,24.5614,33.33333,3.20117610491165,3.50655779731998
176189,SALTO DO CEU,89974,MT,2004,4,27,1,8,14.81481,12.5,2.6956273561036,2.52572864430826
176220,SANTA CARMEM,90107,MT,2004,11,31,0,7,35.48387,0,3.56907822702859,0
176256,SANTA CRUZ DO XINGU,90980,MT,2004,8,27,3,8,29.62963,37.5,3.3887748741636,3.62434093297637
176293,SANTA RITA DO TRIVELATO,91049,MT,2004,8,34,2,8,23.52941,25,3.15825112805176,3.2188758248682
176332,SANTA TEREZINHA,91979,MT,2004,12,47,1,8,25.53191,12.5,3.23992904239935,2.52572864430826
176389,SANTO AFONSO,90328,MT,2004,2,21,1,8,9.52381,12.5,2.25379497882461,2.52572864430826
176416,SANTO ANTONIO DO LESTE,89843,MT,2004,3,27,1,7,11.11111,14.28571,2.40794550865187,2.65925973693273
176449,SANTO ANTONIO DO LEVERGER,91553,MT,2004,17,72,0,6,23.61111,0,3.16171736396943,0
176531,SAO FELIX DO ARAGUAIA,91839,MT,2004,9,45,0,7,20,0,2.99573227355399,0
176582,SAO JOSE DO POVO,90026,MT,2004,4,37,0,7,10.81081,0,2.38054655946375,0
176627,SAO JOSE DO RIO CLARO,91995,MT,2004,10,52,0,7,19.23077,0,2.95651160040071,0
176693,SAO JOSE DO XINGU,90247,MT,2004,11,45,2,7,24.44444,28.57143,3.19640278719794,3.35240726749272
176749,SAO JOSE DOS QUATRO MARCOS,89931,MT,2004,12,64,2,8,18.75,25,2.93119375241642,3.2188758248682
176817,SAO PEDRO DA CIPA,90409,MT,2004,7,45,0,7,15.55556,0,2.74441813098733,0
176868,SAPEZAL,90727,MT,2004,12,53,1,7,22.64151,14.28571,3.11978494722397,2.65925973693273
176935,SERRA NOVA DOURADA,90921,MT,2004,5,28,0,8,17.85714,0,2.88240342824698,0
176970,SINOP,89850,MT,2004,18,83,1,7,21.68675,14.28571,3.07670147497654,2.65925973693273
177073,SORRISO,98930,MT,2004,12,52,0,6,23.07692,0,3.13883298386132,0
177140,TABAPORA,90220,MT,2004,9,54,1,7,16.66667,14.28571,2.81341091676002,2.65925973693273
177209,TANGARA DA SERRA,91855,MT,2004,30,104,1,7,28.84615,14.28571,3.36197653517553,2.65925973693273
177329,TAPURAH,90689,MT,2004,6,27,0,8,22.22222,0,3.10109268921181,0
177361,TERRA NOVA DO NORTE,98957,MT,2004,8,50,0,8,16,0,2.77258872223978,0
177429,TESOURO,91618,MT,2004,2,22,0,8,9.09091,0,2.20727501318972,0
177456,TORIXOREU,91634,MT,2004,7,30,1,8,23.33333,12.5,3.1498828105241,2.52572864430826
177490,UNIAO DO SUL,90840,MT,2004,5,35,0,7,14.28571,0,2.65925973693273,0
177533,VALE DE SAO DOMINGOS,91022,MT,2004,3,24,1,8,12.5,12.5,2.52572864430826,2.52572864430826
177567,VARZEA GRANDE,91677,MT,2004,46,172,1,9,26.74419,11.11111,3.28631725348981,2.40794550865187
177750,VERA,98973,MT,2004,7,25,2,8,28,25,3.3322045101752,3.2188758248682
177786,VILA BELA DA SANTISSIMA TRINDADE,91090,MT,2004,10,67,0,5,14.92537,0,2.70306244959115,0
177863,VILA RICA,98990,MT,2004,16,66,0,6,24.24242,0,3.18810399120143,0
177945,ABAETETUBA,4014,PA,2004,39,156,0,7,25,0,3.2188758248682,0
178115,ABEL FIGUEIREDO,4502,PA,2004,15,51,0,7,29.41176,0,3.38139459436596,0
178179,ACARA,4030,PA,2004,44,137,2,6,32.11679,33.33333,3.46937894635095,3.50655779731998
178336,AFUA,4057,PA,2004,9,39,2,8,23.07692,25,3.13883298386132,3.2188758248682
178381,AGUA AZUL DO NORTE,4260,PA,2004,7,35,0,4,20,0,2.99573227355399,0
178442,ALENQUER,4073,PA,2004,23,98,3,6,23.46939,50,3.15569701889884,3.91202300542815
178554,ALMEIRIM,4090,PA,2004,20,77,3,6,25.97403,50,3.25709719268839,3.91202300542815
178663,ALTAMIRA,4111,PA,2004,17,78,2,7,21.79487,28.57143,3.08167462100177,3.35240726749272
178757,ANAJAS,4138,PA,2004,18,60,0,6,30,0,3.40119738166216,0
178841,ANANINDEUA,4154,PA,2004,77,318,1,13,24.21384,7.69231,3.18692437051613,2.04022112852651
179185,ANAPU,4723,PA,2004,18,79,1,5,22.78481,20,3.12609408586168,2.99573227355399
179278,AUGUSTO CORREA,4170,PA,2004,20,84,1,6,23.80952,16.66667,3.17008550069876,2.81341091676002
179370,AURORA DO PARA,4340,PA,2004,16,99,0,6,16.16162,0,2.78263929559325,0
179490,AVEIRO,4197,PA,2004,18,70,2,7,25.71429,28.57143,3.24704686850155,3.35240726749272
179571,BAGRE,4219,PA,2004,6,61,1,5,9.83607,20,2.28605624104273,2.99573227355399
179645,BAIAO,4235,PA,2004,13,69,0,8,18.84058,0,2.93601305423698,0
179725,BANNACH,4588,PA,2004,9,47,0,7,19.14894,0,2.95224736161423,0
179778,BARCARENA,4251,PA,2004,26,98,0,6,26.53061,0,3.27829916072361,0
179885,BELEM,4278,PA,2004,98,515,4,28,19.02913,14.28571,2.9459709629745,2.65925973693273
180489,BELTERRA,4804,PA,2004,21,75,1,6,28,16.66667,3.3322045101752,2.81341091676002
180576,BENEVIDES,4294,PA,2004,32,119,0,4,26.89076,0,3.29178273317628,0
180709,BOM JESUS DO TOCANTINS,4049,PA,2004,12,50,1,6,24,16.66667,3.17805383034795,2.81341091676002
180770,BONITO,4316,PA,2004,9,53,0,7,16.98113,0,2.83210272754996,0
180835,BRAGANCA,4332,PA,2004,36,158,1,6,22.78481,16.66667,3.12609408586168,2.81341091676002
181015,BRASIL NOVO,4227,PA,2004,11,56,2,6,19.64286,33.33333,2.97771391350585,3.50655779731998
181081,BREJO GRANDE DO ARAGUAIA,5932,PA,2004,9,53,1,6,16.98113,16.66667,2.83210272754996,2.81341091676002
181146,BREU BRANCO,4448,PA,2004,24,92,2,7,26.08696,28.57143,3.26143557262032,3.35240726749272
181248,BREVES,4359,PA,2004,28,113,1,7,24.77876,14.28571,3.20998683459381,2.65925973693273
181378,BUJARU,4375,PA,2004,16,75,1,6,21.33333,16.66667,3.06027063844155,2.81341091676002
181463,CACHOEIRA DO ARARI,4391,PA,2004,19,81,1,6,23.45679,16.66667,3.15516000521894,2.81341091676002
181556,CACHOEIRA DO PIRIA,4766,PA,2004,10,76,0,7,13.15789,0,2.57702157869574,0
181641,CAMETA,4413,PA,2004,26,118,0,8,22.0339,0,3.09258217646698,0
181785,CANAA DOS CARAJAS,4707,PA,2004,19,86,1,6,22.09302,16.66667,3.09526172153259,2.81341091676002
181895,CAPANEMA,4430,PA,2004,31,130,0,5,23.84615,0,3.17162277872732,0
182039,CAPITAO POCO,4456,PA,2004,25,109,1,6,22.93578,16.66667,3.13269813662715,2.81341091676002
182182,CASTANHAL,4472,PA,2004,36,136,1,8,26.47059,12.5,3.27603430537481,2.52572864430826
182334,CHAVES,4499,PA,2004,9,47,0,7,19.14894,0,2.95224736161423,0
182397,COLARES,4510,PA,2004,18,82,0,3,21.95122,0,3.08882271884222,0
182497,CONCEICAO DO ARAGUAIA,4537,PA,2004,20,79,1,6,25.31646,16.66667,3.23145477707505,2.81341091676002
182612,CONCORDIA DO PARA,5819,PA,2004,15,66,1,6,22.72727,16.66667,3.12356552506387,2.81341091676002
182690,CUMARU DO NORTE,4529,PA,2004,7,45,0,8,15.55556,0,2.74441813098733,0
182745,CURIONOPOLIS,5851,PA,2004,22,79,1,7,27.8481,14.28571,3.32676474142484,2.65925973693273
182838,CURRALINHO,4553,PA,2004,18,80,1,6,22.5,16.66667,3.11351530921037,2.81341091676002
182930,CURUA,4740,PA,2004,22,88,2,6,25,33.33333,3.2188758248682,3.50655779731998
183025,CURUCA,4570,PA,2004,21,105,1,7,20,14.28571,2.99573227355399,2.65925973693273
183142,DOM ELISEU,5975,PA,2004,20,79,1,6,25.31646,16.66667,3.23145477707505,2.81341091676002
183236,ELDORADO DO CARAJAS,4120,PA,2004,25,87,1,6,28.73563,16.66667,3.35813781620171,2.81341091676002
183341,FARO,4596,PA,2004,5,35,2,7,14.28571,28.57143,2.65925973693273,3.35240726749272
183383,FLORESTA DO ARAGUAIA,4561,PA,2004,16,78,2,6,20.51282,33.33333,3.02105005653828,3.50655779731998
183472,GARRAFAO DO NORTE,5878,PA,2004,13,75,0,6,17.33333,0,2.85263123760561,0
183556,GOIANESIA DO PARA,4006,PA,2004,18,84,0,6,21.42857,0,3.06472507837427,0
183649,GURUPA,4618,PA,2004,7,36,0,7,19.44444,0,2.96756116801584,0
183691,IGARAPE ACU,4634,PA,2004,22,92,0,6,23.91304,0,3.17442391684281,0
183799,IGARAPE-MIRI,4650,PA,2004,27,97,2,8,27.83505,25,3.32629601793348,3.2188758248682
183938,INHANGAPI,4677,PA,2004,14,61,0,5,22.95082,0,3.13335366571575,0
184009,IPIXUNA DO PARA,4189,PA,2004,16,64,0,6,25,0,3.2188758248682,0
184078,IRITUIA,4693,PA,2004,18,75,3,7,24,42.85714,3.17805383034795,3.75787225893422
184173,ITAITUBA,4715,PA,2004,40,133,1,7,30.07519,14.28571,3.40370057938027,2.65925973693273
184326,ITUPIRANGA,4731,PA,2004,15,76,1,8,19.73684,12.5,2.9824869401373,2.52572864430826
184413,JACAREACANGA,4200,PA,2004,5,41,0,7,12.19512,0,2.50103587171787,0
184460,JACUNDA,4758,PA,2004,26,86,2,7,30.23256,28.57143,3.40891948929453,3.35240726749272
184553,JURUTI,4774,PA,2004,15,62,1,6,24.19355,16.66667,3.18608606871187,2.81341091676002
184629,LIMOEIRO DO AJURU,4790,PA,2004,15,68,0,7,22.05882,0,3.09371252191418,0
184708,MAE DO RIO,4103,PA,2004,20,63,2,8,31.74603,25,3.45776767815055,3.2188758248682
184782,MAGALHAES BARATA,4812,PA,2004,4,38,1,6,10.52632,16.66667,2.35387878738152,2.81341091676002
184826,MARABA,4839,PA,2004,45,153,2,8,29.41176,25,3.38139459436596,3.2188758248682
184988,MARACANA,4855,PA,2004,25,82,0,6,30.4878,0,3.41732660359203,0
185103,MARAPANIM,4871,PA,2004,14,86,1,6,16.27907,16.66667,2.78988023363556,2.81341091676002
185201,MARITUBA,4642,PA,2004,37,134,0,5,27.61194,0,3.31824828787059,0
185344,MEDICILANDIA,5770,PA,2004,15,66,0,6,22.72727,0,3.12356552506387,0
185419,MELGACO,4898,PA,2004,9,67,0,6,13.43284,0,2.59770245504441,0
185506,MOCAJUBA,4910,PA,2004,16,61,2,8,26.22951,25,3.26688511280456,3.2188758248682
185577,MOJU,4936,PA,2004,41,146,1,6,28.08219,16.66667,3.33513556756943,2.81341091676002
185736,MONTE ALEGRE,4952,PA,2004,21,97,2,7,21.64948,28.57143,3.0749814356843,3.35240726749272
185860,MUANA,4979,PA,2004,12,74,2,5,16.21622,40,2.78601197590523,3.68887945411394
185949,NOVA ESPERANCA DO PIRIA,4480,PA,2004,11,56,2,8,19.64286,25,2.97771391350585,3.2188758248682
186016,NOVA IPIXUNA,4600,PA,2004,22,72,0,6,30.55556,0,3.41954666578489,0
186092,NOVA TIMBOTEUA,4995,PA,2004,14,58,0,6,24.13793,0,3.18378446219979,0
186158,NOVO PROGRESSO,4383,PA,2004,22,73,3,7,30.13699,42.85714,3.40575332092528,3.75787225893422
186244,NOVO REPARTIMENTO,4421,PA,2004,25,79,2,8,31.64557,25,3.45459817038927,3.2188758248682
186330,OBIDOS,5010,PA,2004,19,85,2,9,22.35294,22.22222,3.10695785603263,3.10109268921181
186421,OEIRAS DO PARA,5037,PA,2004,16,73,1,6,21.91781,16.66667,3.08729954832948,2.81341091676002
186509,ORIXIMINA,5053,PA,2004,16,76,0,8,21.05263,0,3.04702549294154,0
186595,OUREM,5070,PA,2004,18,72,1,7,25,14.28571,3.2188758248682,2.65925973693273
186673,OURILANDIA DO NORTE,5959,PA,2004,11,51,0,5,21.56863,0,3.07123994424395,0
186743,PACAJA,5916,PA,2004,16,73,0,7,21.91781,0,3.08729954832948,0
186826,PALESTINA DO PARA,4162,PA,2004,5,33,2,8,15.15152,25,2.71810085695566,3.2188758248682
186867,PARAGOMINAS,5096,PA,2004,30,117,2,6,25.64103,33.33333,3.24419380285248,3.50655779731998
186995,PARAUAPEBAS,5835,PA,2004,33,128,2,7,25.78125,28.57143,3.24964748353495,3.35240726749272
187143,PAU D'ARCO,4308,PA,2004,14,73,0,6,19.17808,0,2.95376796016924,0
187228,PEIXE-BOI,5118,PA,2004,13,53,1,7,24.5283,14.28571,3.19982755297443,2.65925973693273
187293,PICARRA,4782,PA,2004,7,32,2,8,21.875,25,3.08534443224368,3.2188758248682
187339,PLACAS,4626,PA,2004,15,71,0,7,21.12676,0,3.05054048338232,0
187425,PONTA DE PEDRAS,5134,PA,2004,22,69,5,7,31.88406,71.42857,3.46210619838551,4.26869792936688
187531,PORTEL,5150,PA,2004,16,76,2,6,21.05263,33.33333,3.04702549294154,3.50655779731998
187632,PORTO DE MOZ,5177,PA,2004,13,68,1,6,19.11765,16.66667,2.95061199211966,2.81341091676002
187710,PRAINHA,5193,PA,2004,12,56,1,7,21.42857,14.28571,3.06472507837427,2.65925973693273
187778,PRIMAVERA,5215,PA,2004,12,57,2,7,21.05263,28.57143,3.04702549294154,3.35240726749272
187842,QUATIPURU,4685,PA,2004,15,66,1,7,22.72727,14.28571,3.12356552506387,2.65925973693273
187914,REDENCAO,5673,PA,2004,20,110,0,6,18.18182,0,2.90042219374966,0
188033,RIO MARIA,5690,PA,2004,19,79,2,7,24.05063,28.57143,3.18016119163487,3.35240726749272
188122,RONDON DO PARA,5738,PA,2004,24,93,0,5,25.80645,0,3.25062446068278,0
188233,RUROPOLIS,5894,PA,2004,15,60,2,6,25,33.33333,3.2188758248682,3.50655779731998
188304,SALINOPOLIS,5231,PA,2004,17,84,0,6,20.2381,0,3.00756696649508,0
188407,SALVATERRA,5258,PA,2004,16,72,0,6,22.22222,0,3.10109268921181,0
188487,SANTA BARBARA DO PARA,4243,PA,2004,17,91,0,5,18.68132,0,2.92752409411569,0
188587,SANTA CRUZ DO ARARI,5274,PA,2004,12,58,1,7,20.68966,14.28571,3.02963405856298,2.65925973693273
188650,SANTA IZABEL DO PARA,5290,PA,2004,40,141,1,5,28.36879,20,3.34528959722385,2.99573227355399
188819,SANTA LUZIA DO PARA,4146,PA,2004,6,44,1,7,13.63636,14.28571,2.61273975463118,2.65925973693273
188874,SANTA MARIA DAS BARREIRAS,5991,PA,2004,8,66,0,6,12.12121,0,2.49495681064149,0
188963,SANTA MARIA DO PARA,5312,PA,2004,12,60,0,7,20,0,2.99573227355399,0
189028,SANTANA DO ARAGUAIA,5339,PA,2004,12,69,0,6,17.3913,0,2.8559700811788,0
189122,SANTAREM,5355,PA,2004,39,166,1,9,23.49398,11.11111,3.15674421812015,2.40794550865187
189318,SANTAREM NOVO,5371,PA,2004,9,50,1,6,18,16.66667,2.89037175789616,2.81341091676002
189379,SANTO ANTONIO DO TAUA,5398,PA,2004,25,99,0,5,25.25253,0,3.22892634872168,0
189499,SAO CAETANO DE ODIVELAS,5410,PA,2004,12,65,0,6,18.46154,0,2.91568964921378,0
189584,SAO DOMINGOS DO ARAGUAIA,4464,PA,2004,21,80,0,6,26.25,0,3.26766598903763,0
189672,SAO DOMINGOS DO CAPIM,5436,PA,2004,25,106,1,6,23.58491,16.66667,3.16060710074421,2.81341091676002
189796,SAO FELIX DO XINGU,5452,PA,2004,25,94,0,7,26.59574,0,3.28075105258627,0
189901,SAO FRANCISCO DO PARA,5479,PA,2004,11,50,1,6,22,16.66667,3.09104245335832,2.81341091676002
189976,SAO GERALDO DO ARAGUAIA,5797,PA,2004,18,75,2,6,24,33.33333,3.17805383034795,3.50655779731998
190072,SAO JOAO DA PONTA,4820,PA,2004,9,57,1,6,15.78947,16.66667,2.7593432621564,2.81341091676002
190135,SAO JOAO DE PIRABAS,4065,PA,2004,14,65,1,7,21.53846,14.28571,3.06984017427914,2.65925973693273
190211,SAO JOAO DO ARAGUAIA,5495,PA,2004,13,53,3,7,24.5283,42.85714,3.19982755297443,3.75787225893422
190273,SAO MIGUEL DO GUAMA,5517,PA,2004,19,73,0,7,26.0274,0,3.25914982926929,0
190360,SAO SEBASTIAO DA BOA VISTA,5533,PA,2004,26,91,1,6,28.57143,16.66667,3.35240726749272,2.81341091676002
190463,SAPUCAIA,4847,PA,2004,16,53,0,6,30.18868,0,3.40746701967575,0
190532,SENADOR JOSE PORFIRIO,5550,PA,2004,19,72,4,6,26.38889,66.66667,3.27294308824374,4.19970512787993
190614,SOURE,5576,PA,2004,28,96,0,6,29.16667,0,3.37302661898117,0
190727,TAILANDIA,4022,PA,2004,23,78,0,6,29.48718,0,3.38395559261895,0
190820,TERRA ALTA,4545,PA,2004,7,68,0,7,10.29412,0,2.3315728584387,0
190897,TERRA SANTA,4367,PA,2004,13,45,2,7,28.88889,28.57143,3.36345709214085,3.35240726749272
190950,TOME ACU,5592,PA,2004,27,115,2,6,23.47826,33.33333,3.15607488659213,3.50655779731998
191076,TRACUATEUA,4669,PA,2004,19,85,3,5,22.35294,60,3.10695785603263,4.0943445622221
191182,TRAIRAO,4286,PA,2004,10,45,1,7,22.22222,14.28571,3.10109268921181,2.65925973693273
191239,TUCUMA,4081,PA,2004,10,48,0,4,20.83333,0,3.03655410807423,0
191324,TUCURUI,5614,PA,2004,38,137,1,5,27.73723,20,3.32277555409687,2.99573227355399
191468,ULIANOPOLIS,4324,PA,2004,12,44,2,8,27.27273,25,3.30588730185783,3.2188758248682
191520,URUARA,5754,PA,2004,22,114,1,5,19.29825,20,2.96001441822461,2.99573227355399
191648,VIGIA,5630,PA,2004,28,116,0,4,24.13793,0,3.18378446219979,0
191793,VITORIA DO XINGU,4405,PA,2004,20,87,1,5,22.98851,20,3.13499452588748,2.99573227355399
191895,VIZEU,5657,PA,2004,19,95,1,5,20,20,2.99573227355399,2.99573227355399
192003,XINGUARA,5711,PA,2004,19,76,0,6,25,0,3.2188758248682,0
192095,AGUA BRANCA,19011,PB,2004,3,26,1,8,11.53846,12.5,2.44568580330138,2.52572864430826
192129,AGUIAR,19038,PB,2004,3,21,2,7,14.28571,28.57143,2.65925973693273,3.35240726749272
192157,ALAGOA GRANDE,19054,PB,2004,23,90,1,6,25.55556,16.66667,3.2408549055,2.81341091676002
192263,ALAGOA NOVA,19070,PB,2004,11,49,1,8,22.44898,12.5,3.11124517885765,2.52572864430826
192318,ALAGOINHA,19097,PB,2004,13,48,2,7,27.08333,28.57143,3.29891840946481,3.35240726749272
192373,ALCANTIL,19763,PB,2004,10,34,3,8,29.41176,37.5,3.38139459436596,3.62434093297637
192416,ALGODAO DE JANDAIRA,19925,PB,2004,5,30,0,8,16.66667,0,2.81341091676002,0
192450,ALHANDRA,19119,PB,2004,11,62,0,7,17.74194,0,2.87593132828679,0
192523,AMPARO,19585,PB,2004,9,32,3,8,28.125,37.5,3.33665886052458,3.62434093297637
192567,APARECIDA,19844,PB,2004,9,27,4,8,33.33333,50,3.50655779731998,3.91202300542815
192599,ARACAGI,19151,PB,2004,15,54,1,7,27.77778,14.28571,3.32423642052602,2.65925973693273
192659,ARARA,19178,PB,2004,13,39,1,7,33.33333,14.28571,3.50655779731998,2.65925973693273
192710,ARARUNA,19194,PB,2004,8,34,2,7,23.52941,28.57143,3.15825112805176,3.35240726749272
192756,AREIA,19216,PB,2004,25,84,2,7,29.7619,28.57143,3.39322905201297,3.35240726749272
192866,AREIA DE BARAUNAS,19909,PB,2004,4,22,1,8,18.18182,12.5,2.90042219374966,2.52572864430826
192899,AREIAL,19232,PB,2004,5,26,2,8,19.23077,25,2.95651160040071,3.2188758248682
192930,AROEIRAS,19259,PB,2004,11,51,0,7,21.56863,0,3.07123994424395,0
192988,ASSUNCAO,19321,PB,2004,4,22,1,8,18.18182,12.5,2.90042219374966,2.52572864430826
193017,BAIA DA TRAICAO,19291,PB,2004,6,42,0,8,14.28571,0,2.65925973693273,0
193070,BANANEIRAS,19313,PB,2004,11,36,1,8,30.55556,12.5,3.41954666578489,2.52572864430826
193110,BARAUNA,19305,PB,2004,7,24,3,8,29.16667,37.5,3.37302661898117,3.62434093297637
193143,BARRA DE SANTA ROSA,19330,PB,2004,1,20,0,8,5,0,1.6094379124341,0
193169,BARRA DE SANTANA,19780,PB,2004,8,43,2,8,18.60465,25,2.92341154947436,3.2188758248682
193221,BARRA DE SAO MIGUEL,19356,PB,2004,5,27,1,7,18.51852,14.28571,2.91877131241786,2.65925973693273
193256,BAYEUX,19372,PB,2004,39,156,1,8,25,12.5,3.2188758248682,2.52572864430826
193434,BELEM,19399,PB,2004,12,36,2,8,33.33333,25,3.50655779731998,3.2188758248682
193476,BELEM DO BREJO DO CRUZ,19410,PB,2004,6,22,3,8,27.27273,37.5,3.30588730185783,3.62434093297637
193502,BERNARDINO BATISTA,19500,PB,2004,5,24,0,8,20.83333,0,3.03655410807423,0
193530,BOA VENTURA,19437,PB,2004,7,33,1,8,21.21212,12.5,3.05457271643407,2.52572864430826
193573,BOA VISTA,19941,PB,2004,1,48,0,6,2.08333,0,0.733967575078921,0
193625,BOM JESUS,19453,PB,2004,10,25,2,8,40,25,3.68887945411394,3.2188758248682
193661,BOM SUCESSO,19470,PB,2004,11,20,3,8,55,37.5,4.00733318523247,3.62434093297637
193690,BONITO DE SANTA FE,19496,PB,2004,2,20,1,8,10,12.5,2.30258509299405,2.52572864430826
193714,BOQUEIRAO,19518,PB,2004,14,60,0,6,23.33333,0,3.1498828105241,0
193782,BORBOREMA,19550,PB,2004,9,33,2,8,27.27273,25,3.30588730185783,3.2188758248682
193819,BREJO DO CRUZ,19577,PB,2004,4,30,0,8,13.33333,0,2.5902669154458,0
193853,BREJO DOS SANTOS,19593,PB,2004,2,20,0,8,10,0,2.30258509299405,0
193882,CAAPORA,19615,PB,2004,21,62,2,7,33.87097,28.57143,3.52255830533309,3.35240726749272
193952,CABACEIRAS,19631,PB,2004,4,31,0,7,12.90323,0,2.55747766762278,0
193988,CABEDELO,19658,PB,2004,30,120,0,5,25,0,3.2188758248682,0
194127,CACHOEIRA DOS INDIOS,19674,PB,2004,5,25,0,8,20,0,2.99573227355399,0
