"Data","IBCraw","IBCvar","IPCAraw","IPCAvar","SELICraw","SELICvar","EXRTraw","EXRTvar"
2004-01-01,102.53770150806,2.53770150806032,107.707318476468,7.70731847646811,1.267551,16.32,2.851,2.851
2004-02-01,103.432137285491,0.79051383399209,108.364178589237,6.68891584805729,1.084394,13.82,2.9295,2.9295
2004-03-01,116.463858554342,8.2873996712117,108.873365041617,5.88764694636024,1.379123,17.86,2.9047,2.9047
2004-04-01,111.658866354654,5.05920344456408,109.276111388132,5.25841804100144,1.18185,15.14,2.9052,2.9052
2004-05-01,110.275611024441,5.71286141575273,109.833243834145,5.15354601790226,1.227805,15.77,3.0996,3.0996
2004-06-01,111.284451378055,8.54128626496247,110.612845690614,6.05912937942195,1.229889,15.8,3.1283,3.1283
2004-07-01,115.933437337493,8.17079087821446,111.619232096966,6.81048642398996,1.286889,16.58,3.036,3.036
2004-08-01,115.080603224129,9.04700896816795,112.389244754708,7.18293179209781,1.293586,16.68,3.0021,3.0021
2004-09-01,113.582943317733,6.16311849907647,112.760346745426,6.70447585127378,1.251327,16.09,2.8903,2.8903
2004-10-01,113.2501300052,3.64553588425662,113.256587779525,6.86424422286964,1.213224,15.57,2.8521,2.8521
2004-11-01,113.978159126365,7.49386954389406,114.038107475739,7.23683024040107,1.250986,16.09,2.7852,2.7852
2004-12-01,111.866874674987,7.84038500100261,115.01860304553,7.59949584882642,1.482823,19.32,2.7174,2.7174
2005-01-01,107.665106604264,5.00050715082665,115.685531816961,7.40730848501845,1.383882,17.93,2.6922,2.6922
2005-02-01,108.164326573063,4.57516339869282,116.368282766292,7.38630078800777,1.218186,15.64,2.597,2.597
2005-03-01,120.041601664067,3.07197713877478,117.077883472057,7.5358361774744,1.528178,19.96,2.7039,2.7039
2005-04-01,116.848673946958,4.64791356184797,118.096256376817,8.07143013842881,1.411529,18.32,2.5784,2.5784
2005-05-01,115.299011960478,4.55531453362257,118.674964519965,8.05013161513375,1.503065,19.61,2.452,2.452
2005-06-01,115.964638585543,4.20560747663552,118.650991523148,7.26691893906883,1.585603,20.78,2.4127,2.4127
2005-07-01,117.680707228289,1.50713196375709,118.947777223735,6.56566524342574,1.511345,19.72,2.3727,2.3727
2005-08-01,119.760790431617,4.06687754179846,119.150109316865,6.01557967304871,1.658483,21.82,2.3598,2.3598
2005-09-01,115.392615704628,1.59326069041297,119.567239461471,6.03660144058644,1.503136,19.61,2.2936,2.2936
2005-10-01,115.787831513261,2.2407934612912,120.463829542403,6.36364021217777,1.407164,18.26,2.2557,2.2557
2005-11-01,116.203848153926,1.952732913587,121.126443174408,6.21576055195148,1.381041,17.89,2.21,2.21
2005-12-01,115.704628185127,3.43064336184455,121.56227225653,5.68922681873509,1.473572,19.19,2.2847,2.2847
2006-01-01,112.896515860634,4.85896445131375,122.279544321277,5.69994570690848,1.429317,18.57,2.2731,2.2731
2006-02-01,112.116484659386,3.65384615384614,122.781059414675,5.51075988743628,1.145063,14.64,2.1611,2.1611
2006-03-01,123.858554342174,3.17969156125455,123.308944804572,5.32215064684034,1.422302,18.47,2.1512,2.1512
2006-04-01,117.119084763391,0.231419670672017,123.567853170189,4.63316701243548,1.077878,13.73,2.1285,2.1285
2006-05-01,121.882475299012,5.70990438390762,123.691553833762,4.2271673171244,1.281366,16.51,2.1773,2.1773
2006-06-01,118.980759230369,2.60089686098655,123.431686548272,4.02920781676823,1.184394,15.18,2.2475,2.2475
2006-07-01,124.191367654706,5.53247901016347,123.666142457136,3.966753598536,1.169966,14.98,2.1885,2.1885
2006-08-01,125.907436297452,5.13243595310464,123.727992788923,3.84211437010329,1.256265,16.16,2.1551,2.1551
2006-09-01,120.863234529381,4.74087426768817,123.987860074412,3.69718380457056,1.05731,13.45,2.1679,2.1679
2006-10-01,124.108164326573,7.18584388754155,124.3968394001,3.26488861647209,1.094244,13.95,2.1475,2.1475
2006-11-01,123.421736869475,6.21140248814105,124.782325188907,3.0182360834577,1.020605,12.96,2.1571,2.1571
2006-12-01,120.956838273531,4.53932584269665,125.381170649381,3.14151613157687,0.987886,12.52,2.1491,2.1491
2007-01-01,119.386375455018,5.74850299401199,125.933029036094,2.98781348515504,1.08279830826199,13.8,2.1377,2.1377
2007-02-01,117.867914716589,5.12987012987012,126.487284722489,3.01856436610148,0.872481617322585,10.99,2.0955,2.0955
2007-03-01,130.119604784191,5.05500041985052,126.955237620344,2.95703837345394,1.05222191176317,13.38,2.0879,2.0879
2007-04-01,125.106604264171,6.81999822395882,127.272640098193,2.99818021674434,0.9448233500295,11.95,2.0312,2.0312
2007-05-01,128.861154446178,5.72574451745032,127.628878830885,3.18318015667822,1.02807960201667,13.06,1.9808,1.9808
2007-06-01,127.280291211648,6.97552447552447,127.986076483449,3.68980612883052,0.905623126333155,11.43,1.9311,1.9311
2007-07-01,132.969318772751,7.06808475002092,128.293410302635,3.74174188145528,0.972629358512034,12.32,1.882,1.882
2007-08-01,134.217368694748,6.60003304146703,128.896570902535,4.17737166594976,0.992639370255843,12.58,1.9652,1.9652
2007-09-01,128.17472698908,6.04939333964374,129.128629511718,4.14618772694406,0.804954377837563,10.1,1.8988,1.8988
2007-10-01,134.342173686947,8.24604039218972,129.516033140271,4.11521206234677,0.929482459259545,11.74,1.8002,1.8002
2007-11-01,130.920436817473,6.07567203168451,130.007959034943,4.18779970490595,0.844660978603518,10.62,1.7691,1.7691
2007-12-01,127.332293291732,5.27085124677558,130.970235127153,4.45765855337374,0.844660978603518,10.62,1.7852,1.7852
